iter	Passed	Remaining
0	15	15412
1	17	8655
2	18	6261
3	20	5019
4	21	4368
5	23	3859
6	24	3472
7	25	3193
8	26	2966
9	28	2786
10	29	2637
11	30	2518
12	31	2417
13	33	2348
14	34	2262
15	35	2189
16	36	2129
17	38	2073
18	39	2025
19	40	1980
20	41	1945
21	42	1908
22	44	1872
23	45	1842
24	46	1827
25	48	1806
26	49	1782
27	50	1760
28	51	1738
29	53	1720
30	54	1700
31	55	1683
32	57	1671
33	58	1657
34	59	1641
35	60	1626
36	62	1630
37	63	1618
38	65	1606
39	66	1594
40	67	1581
41	68	1571
42	70	1562
43	71	1551
44	72	1541
45	73	1530
46	75	1521
47	76	1522
48	78	1517
49	79	1509
50	80	1501
51	81	1491
52	82	1482
53	84	1474
54	85	1468
55	86	1460
56	87	1452
57	89	1445
58	90	1439
59	91	1439
60	93	1434
61	94	1428
62	95	1421
63	96	1416
64	98	1417
65	100	1423
66	101	1418
67	103	1414
68	104	1409
69	105	1408
70	107	1404
71	108	1401
72	109	1396
73	111	1393
74	112	1390
75	113	1385
76	115	1380
77	116	1375
78	117	1372
79	118	1366
80	120	1361
81	121	1363
82	122	1354
83	123	1349
84	124	1344
85	126	1340
86	127	1338
87	128	1334
88	130	1331
89	131	1328
90	132	1325
91	133	1321
92	136	1330
93	137	1328
94	140	1334
95	141	1332
96	142	1328
97	143	1324
98	145	1320
99	146	1317
100	147	1313
101	148	1310
102	150	1307
103	151	1307
104	153	1307
105	155	1309
106	156	1307
107	157	1304
108	159	1303
109	160	1301
110	162	1297
111	163	1294
112	164	1291
113	166	1290
114	167	1288
115	168	1285
116	169	1280
117	170	1277
118	172	1274
119	173	1272
120	174	1268
121	175	1264
122	176	1261
123	178	1258
124	179	1258
125	181	1257
126	182	1255
127	184	1253
128	185	1252
129	187	1251
130	188	1249
131	189	1247
132	191	1246
133	192	1244
134	193	1241
135	195	1244
136	197	1243
137	199	1243
138	200	1241
139	201	1240
140	203	1238
141	204	1233
142	205	1231
143	206	1229
144	208	1227
145	210	1231
146	212	1230
147	213	1230
148	214	1227
149	216	1225
150	217	1222
151	218	1219
152	219	1216
153	221	1214
154	222	1211
155	223	1210
156	224	1207
157	226	1205
158	227	1204
159	229	1202
160	229	1198
161	231	1196
162	232	1194
163	234	1193
164	235	1191
165	236	1189
166	238	1187
167	240	1190
168	241	1188
169	243	1187
170	244	1184
171	245	1181
172	246	1178
173	247	1175
174	248	1173
175	250	1170
176	251	1168
177	252	1166
178	254	1166
179	255	1165
180	257	1164
181	258	1161
182	259	1159
183	260	1156
184	262	1154
185	263	1152
186	264	1149
187	265	1146
188	266	1144
189	268	1143
190	269	1142
191	271	1142
192	272	1140
193	274	1138
194	275	1135
195	276	1133
196	277	1129
197	278	1126
198	279	1123
199	280	1121
200	281	1119
201	283	1118
202	284	1117
203	285	1115
204	287	1114
205	288	1111
